Anzahl Random;Number of Records;Geschlecht (group);Befragungsjahr;Schultyp;Alter;Geschlecht;GefallenSchule;AendernSchule;Lieblingsfach;Berufswunsch ;SorgenSchule;SorgenAusbildung;SorgenFamilie;Rassismus
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Ein anderes Fach;Wirtschaft, Verwaltung;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;weniger Tests/besser verteilt;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;sp_ter beginnen;Ein anderes Fach;Gestaltung, Kunst;Ja;Nein;Ja;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Sehr gut;Keine Angaben;Mathematik;keine Angabe;Nein;Nein;Nein;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Englisch;keine Angabe;Nein;Ja;Nein;Sehr stark
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;Keine Angaben;Sport;anderes;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;Chemie, Physik;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;l_ngere Pausen;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;keine Angabe;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Sehr gut;anderes;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;ónderungen am Schulhaus (bessere Infrastruktur);Englisch;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Sehr gut;Lehrer erneuern/ wechseln;Deutsch;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Pausenplatz;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Ja;Eher nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher nicht gut;l_ngere Pausen;Mathematik;Verkehr, Logistik;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;nichts;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Franz_sisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;nichts;Deutsch;Natur;Ja;Ja;Nein;Eher stark
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;weniger Tests/besser verteilt;Sport;keine Angabe;Ja;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;Mensa;Mathematik;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Mathematik;Verkehr, Logistik;Nein;Nein;Nein;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;Klassenklima/ Umgang in Klasse;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;farbigere Schule;Mathematik;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;Keine Angabe;Maennlich;Eher gut;nichts;Mathematik;Schšnheit, Sport;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;nichts;Deutsch;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;Organisation/ System verbessern;Ein anderes Fach;keine Angabe;Ja;Ja;Nein;Eher stark
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher nicht gut;Unterrichtsart (mehr praktischer Unterricht);Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Sehr stark
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;Mensa;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;Rauchproblem;Keine Angabe;Wirtschaft, Verwaltung;Nein;Nein;Nein;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Nein;Ja;Ja;Eher nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Mensa;Sport;Metall, Maschinen;Ja;Nein;Nein;Eher stark
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Lehrer erneuern/ wechseln;Ein anderes Fach;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Hausaufgaben;Deutsch;keine Angabe;Ja;Ja;Ja;Sehr stark
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Sport;Schšnheit, Sport;Ja;Ja;Nein;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Franz_sisch;Gesundheit;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Sport;Gesundheit;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;l_ngere Pausen;Deutsch;Elektrotechnik;Nein;Ja;Nein;Sehr stark
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Hausaufgaben;Sport;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Lehrer erneuern/ wechseln;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Ja;Eher stark
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;Hitzefrei;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Lehrer erneuern/ wechseln;Ein anderes Fach;Bau;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Ja;Ja;Ja;Eher nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;gewisse Schulf_cher;Deutsch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Englisch;keine Angabe;Ja;Ja;Nein;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;l_ngere Pausen;Mathematik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher nicht gut;farbigere Schule;Ein anderes Fach;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher nicht gut;nichts;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher nicht gut;nichts;Ein anderes Fach;Verkehr, Logistik;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Sport;Natur;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
